MOVIE NAME,IMDB RATING (out of 10)
Star Wars: Episode I - The Phantom Menace,6.5
Star Wars: Episode II - Attack of the Clones,6.5
Star Wars: Episode III - Revenge of the Sith,7.6
Star Wars: Episode IV - A New Hope,8.6
Star Wars: Episode V - The Empire Strikes Back,8.7
Star Wars: Episode VI - Return of the Jedi,8.3
WALL·E,8.4
The Hunger Games,7.2
The Hunger Games: Catching Fire,7.5
The Martian,8
The Hunger Games: Mockingjay - Part 1,6.6
The Hunger Games: Mockingjay - Part 2,6.6
Jurassic Park,8.2
The Lost World: Jurassic Park,6.6
Jurassic Park III,6
Jurassic World,6.9
Jurassic World: Fallen Kingdom,6.1
Jurassic World: Dominion,5.6
Junk Head,7.3
Look Back,7.8
Haunted Transylvania 2,2.6
Haunted Transylvania ,4
Haunted Transylvania 3,2.1
Carmencita,5.7
Le clown et ses chiens,5.5
Poor Pierrot,6.4
Un bon bock,5.2
Blacksmith Scene,6.2
Chinese Opium Den,5.0
Corbett and Courtney Before the Kinetograph,5.3
Edison Kinetoscopic Record of a Sneeze,5.3
Miss Jerry,5.3
Leaving the Factory,6.8
Akrobatisches Potpourri,5.2
The Arrival of a Train,7.4
The Photographical Congress Arrives in Lyon,5.7
The Waterer Watered,7.1
Around a Cabin,6.1
Boat Leaving the Port,5.9
Italienischer Bauerntanz,4.6
Das boxende Känguruh,5.2
The Clown Barber,4.8
The Derby 1895,4.7
Blacksmith Scene,5.1
The Sea,5.7
Opening of the Kiel Canal,3.7
The Oxford and Cambridge University Boat Race,4.1
The Messers. Lumière at Cards,5.6
Cordeliers' Square in Lyon,5.6
Fishing for Goldfish,5.1
Baby's Meal,5.9
Rough Sea at Dover,5.2
Jumping the Blanket,5.5
Die Serpentintänzerin,4.9
Horse Trick Riders,5.5
Arrivée d'un train gare de Vincennes,4.8
Watering the Flowers,5.4
Awakening of Rip,4.4
Sea Bathing,4.4
The Ball Game,4.1
Barnet Horse Fair,3.7
Barque sortant du port de Trouville,4.2
Bataille de neige,6.7
Bateau-mouche sur la Seine,4.1
Batteuse à vapeur,3.1
scarsdale team B,0.4333333333
Les blanchisseuses,3.8
Bois de Boulogne,4.0
Boulevard des Italiens,3.6
The Boxing Kangaroo,4.6
"Boxing Match; or, Glove Contest",4.4
Bébé et fillettes,3.7
The Bohemian Encampment,3.6
Ruraux au galop,4.0
A Chegada do Comboio Inaugural à Estação Central do Porto,2.9
A Merry-Go-Round,4.8
Le chiffonnier,3.6
Uma Corrida de Touros no Campo Pequeno,2.8
Cortège de tzar allant à Versailles,4.0
Cortège de tzar au Bois de Boulogne,3.9
Coronation of a Village Maiden,3.5
Dancing Darkies,6.9
Dancing Girls,4.0
Danse serpentine,6.1
Dessinateur express,3.3
Dessinateur: Chamberlain,2.9
Dessinateur: Reine Victoria,3.2
Dessinateur: Von Bismark,3.0
Conjurer Making Ten Hats in Sixty Seconds,5.0
Unloading the Boat,3.5
Post No Bills,4.9
Demolition of a Wall,6.4
Automobiles Starting a Race,3.1
Officers of French Army Leaving Service,3.3
Effets de mer sur les rochers,3.5
Enfants jouant sur la plage,4.2
The Conjuring of a Woman at the House of Robert Houdin,6.3
Exit of Rip and the Dwarf,4.4
"Le fakir, mystère indien",4.5
Feira de Gado na Corujeira,3.3
La gare Saint-Lazare,4.3
Grandes manoeuvres,4.1
Towing a Boat on the River,4.0
A Hard Wash,4.5
Les indiscrets,4.2
Les ivrognes,4.3
